Hospital,source,date,year,month,day_of_week,season,is_bank_holiday,bank_holiday_name,is_weekend,is_flu_season,is_flu_peak,hospital_beds,ed_trolleys,ward_trolleys,total_trolleys,trolley_load,daily_ed_trolleys,daily_ward_trolleys,daily_total,weekly_ed_trolleys,weekly_ward_trolleys,weekly_total,yearly_ed_trolleys,yearly_ward_trolleys,yearly_total,surge_capacity,delayed_transfers,waiting_over_24hrs,over75_waiting_24hrs,occupancy_rate_pct,traffic_light_status,wait_tier,is_synthetic
Bantry General Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,46,4.5,1.7,6.2,6.2,4.5,1.7,6.2,32,12,45,1528,577,535,3,12,2,0,13.5,Red,Low breach,TRUE
Beaumont Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,718,10.6,3.7,14.3,14.3,10.6,3.7,14.3,74,26,99,3598,1256,1845,0,30,0,0,2,Green,No breach,TRUE
Cavan General Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,231,6.5,2.6,9.1,9.1,6.5,2.6,9.1,46,18,64,2206,883,5396,0,4,0,0,3.9,Green,No breach,TRUE
Connolly Hospital Blanchardstown,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,303,4.5,1.8,6.3,6.3,4.5,1.8,6.3,32,13,44,1528,611,1881,0,5,0,0,2.1,Green,No breach,TRUE
Cork University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,664,31.1,13.1,44.2,44.2,31.1,13.1,44.2,218,92,320,10557,4447,680,16,44,3,1,6.7,Amber,Low breach,TRUE
Ennis Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,50,4,1.3,5.3,5.3,4,1.3,5.3,28,9,39,1358,441,6157,3,6,2,1,10.6,Red,Low breach,TRUE
Galway University Hospitals,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,663,24.8,9.4,34.2,34.2,24.8,9.4,34.2,174,66,231,8418,3191,2728,26,40,3,1,5.2,Amber,Low breach,TRUE
Letterkenny University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,350,5,1.9,6.9,6.9,5,1.9,6.9,35,13,48,1697,645,767,0,46,1,0,2,Green,Low breach,TRUE
Mater Misericordiae University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,678,19.5,9.9,29.4,29.4,19.5,9.9,29.4,136,69,199,6619,3361,2747,18,24,3,1,4.3,Amber,Low breach,TRUE
Mayo University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,255,19.7,7,26.7,26.7,19.7,7,26.7,138,49,192,6687,2376,5330,13,10,5,1,10.5,Red,Low breach,TRUE
Mercy University Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,198,2,1,3,3,2,1,3,14,7,22,679,339,2130,1,18,0,0,1.5,Green,No breach,TRUE
Midland Regional Hospital Mullingar,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,184,8.1,3.1,11.2,11.2,8.1,3.1,11.2,57,22,75,2750,1052,1669,2,2,1,0,6.1,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,133,6.1,2.7,8.8,8.8,6.1,2.7,8.8,43,19,60,2071,917,2374,2,3,1,0,6.6,Amber,Low breach,TRUE
Naas General Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,178,14.1,5.3,19.4,19.4,14.1,5.3,19.4,99,37,133,4786,1799,1728,13,13,6,2,10.9,Red,Moderate breach,TRUE
Our Lady of Lourdes Hospital,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,426,3,1.5,4.5,4.5,3,1.5,4.5,21,10,30,1018,509,1077,0,13,0,0,1.1,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,synthetic,1/1/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,184,1.7,0.8,2.5,2.5,1.7,0.8,2.5,12,6,17,577,272,548,0,2,0,0,1.4,Green,No breach,TRUE
