Hospital,region,source,date,year,month,day_of_week,season,is_bank_holiday,bank_holiday_name,is_weekend,is_flu_season,is_flu_peak,hospital_beds,ed_trolleys,ward_trolleys,total_trolleys,trolley_load,daily_ed_trolleys,daily_ward_trolleys,daily_total,weekly_ed_trolleys,weekly_ward_trolleys,weekly_total,yearly_ed_trolleys,yearly_ward_trolleys,yearly_total,surge_capacity,delayed_transfers,waiting_over_24hrs,over75_waiting_24hrs,occupancy_rate_pct,traffic_light_status,wait_tier,is_synthetic
Bantry General Hospital,Cork,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,46,4.5,1.7,6.2,6.2,4.5,1.7,6.2,32,12,45,1528,577,535,3,12,2,0,13.5,Red,Low breach,TRUE
Beaumont Hospital,Dublin,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,718,9.8,4.3,14.1,14.1,9.8,4.3,14.1,69,30,99,3327,1460,1851,0,30,0,0,2,Green,No breach,TRUE
Cavan General Hospital,Cavan,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,231,7.2,3.1,10.3,10.3,7.2,3.1,10.3,50,22,74,2444,1052,5295,9,4,1,0,4.5,Amber,Low breach,TRUE
Connolly Hospital Blanchardstown,Dublin,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,303,4.3,1.7,6,6,4.3,1.7,6,30,12,41,1460,577,1838,0,5,3,1,2,Green,Low breach,TRUE
Cork University Hospital,Cork,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,664,31.2,14.5,45.7,45.7,31.2,14.5,45.7,218,102,313,10591,4922,687,18,46,5,1,6.9,Amber,Low breach,TRUE
Ennis Hospital,Clare,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,50,4.1,2.1,6.2,6.2,4.1,2.1,6.2,29,15,42,1392,713,6165,6,7,2,0,12.4,Red,Low breach,TRUE
Galway University Hospitals,Galway,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,663,23,11,34,34,23,11,34,161,77,242,7807,3734,2728,21,40,3,1,5.1,Amber,Low breach,TRUE
Letterkenny University Hospital,Donegal,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,350,5.4,2.1,7.5,7.5,5.4,2.1,7.5,38,15,53,1833,713,758,0,50,1,0,2.1,Green,Low breach,TRUE
Mater Misericordiae University Hospital,Dublin,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,678,16.5,8.5,25,25,16.5,8.5,25,116,60,169,5601,2885,2655,0,20,1,0,3.7,Green,Low breach,TRUE
Mayo University Hospital,Mayo,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,255,19.9,7.5,27.4,27.4,19.9,7.5,27.4,139,52,194,6755,2546,5210,15,11,5,1,10.7,Red,Low breach,TRUE
Mercy University Hospital,Cork,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,198,2.8,1.2,4,4,2.8,1.2,4,20,8,27,950,407,2021,0,24,0,0,2,Green,No breach,TRUE
Midland Regional Hospital Mullingar,Westmeath,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,184,7.2,3.1,10.3,10.3,7.2,3.1,10.3,50,22,75,2444,1052,1637,4,2,1,0,5.6,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,Portlaoise,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,133,6.7,2.3,9,9,6.7,2.3,9,47,16,64,2274,781,2258,2,4,0,0,6.8,Amber,No breach,TRUE
Naas General Hospital,Kildare,synthetic,01/01/2022,2022,1,Saturday,Winter,FALSE,Not a Bank Holiday,TRUE,TRUE,TRUE,178,14,6.1,20.1,20.1,14,6.1,20.1,98,43,139,4752,2071,1652,20,13,4,1,11.3,Red,Low breach,TRUE
